,id,time,mood_next_day,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,next_day,next_day_weekday,weekday,monday,tuesday,wednesday,thursday,friday,saturday,sunday,month,c_s,fun,idk,serious,talk,all,good,bad
399,AS14.09,2014-03-12,,,,,,,5.0,1.0,,,,,,,,,,,,,2014-03-13,1,1,0,0,1,0,0,0,0,3,6.0,,,,,,,
400,AS14.09,2014-03-19,,,,,,,3.0,4.0,,,,,,,,,,,,,2014-03-20,1,1,0,0,1,0,0,0,0,3,7.0,,,,,,,
401,AS14.09,2014-03-21,7.0,7.0,0.0,1.0,,3007.833998918533,3.0,1.0,29.307000000000002,1221.0810000000004,1447.4560000000001,,,2.113,216.908,,,,2.02,,2014-03-22,0,1,0,0,0,0,1,0,0,3,4.0,1447.4560000000001,218.928,2.113,1221.0810000000004,2918.8850000000007,1221.0810000000004,2.113
402,AS14.09,2014-03-22,6.75,7.0,0.0,0.6666666666666666,0.06284722222222221,4706.241000652313,,,149.05999999999997,2687.055,4606.764999999999,,,13.309000000000001,147.031,122.56800000000001,193.317,,1.003,3.02,2014-03-23,0,0,0,0,0,0,0,1,0,3,,4606.764999999999,148.034,13.309000000000001,2809.623,7920.107999999999,2880.372,135.877
403,AS14.09,2014-03-23,7.25,6.75,0.75,0.25,0.03333333333333332,7160.279999732973,,1.0,299.254,3187.773,35937.645000000004,,,,68.39899999999999,18.333,193.588,,3.0540000000000003,,2014-03-24,1,0,0,0,0,0,0,0,1,3,1.0,35937.645000000004,71.45299999999999,,3206.106,39708.04600000001,3381.3610000000003,18.333
404,AS14.09,2014-03-24,6.2,7.25,0.5,0.5,0.07916666666666668,5929.984000682831,,,60.258,3151.8010000000004,1067.7350000000001,54.492000000000004,,4.090999999999999,83.63300000000001,903.155,250.54899999999998,324.702,20.666999999999998,,2014-03-25,1,1,1,0,0,0,0,0,0,3,,1067.7350000000001,429.002,58.583000000000006,4054.956,5921.0830000000005,3402.3500000000004,961.7379999999999
405,AS14.09,2014-03-25,7.75,6.2,0.4,-0.2,0.025694444444444447,7212.193001270292,1.0,,327.622,2417.2350000000006,3985.3390000000004,106.12,,10.256,72.38,122.999,32.474000000000004,,3.016,17.433,2014-03-26,1,1,0,1,0,0,0,0,0,3,1.0,3985.3390000000004,75.396,116.376,2540.2340000000004,7077.441000000001,2449.7090000000007,239.375
406,AS14.09,2014-03-26,7.8,7.75,0.5,0.75,0.0863155761862658,8552.027000188831,3.0,2.0,625.437,1505.181,2757.0009999999997,61.349,,1.004,46.913,318.847,,,75.999,,2014-03-27,1,1,0,0,1,0,0,0,0,3,5.0,2757.0009999999997,122.91199999999999,62.352999999999994,1824.028,5391.731,1505.181,381.2
407,AS14.09,2014-03-27,8.25,7.8,-0.4,0.8,0.027083333333333348,4169.421998977661,1.0,,210.58200000000002,790.652,2440.0,,,,96.62199999999999,501.6170000000001,1.01,112.478,,14.395999999999999,2014-03-28,1,1,0,0,0,1,0,0,0,3,1.0,2440.0,209.09999999999997,,1292.2690000000002,4152.961,791.662,501.6170000000001
408,AS14.09,2014-03-28,8.0,8.25,-0.25,1.0,0.07977843915343913,10467.48400187493,4.0,,509.97099999999995,2641.962,5631.858,56.071000000000005,,6.096,245.898,293.719,983.769,17.192,70.972,,2014-03-29,0,1,0,0,0,0,1,0,0,3,4.0,5631.858,334.06199999999995,62.167,2935.681,10457.508,3625.7309999999998,355.88599999999997
409,AS14.09,2014-03-29,7.75,8.0,-0.4,1.0,0.08229166666666667,7516.97699904442,5.0,,454.9119999999999,3478.2230000000004,3166.781,,,,63.888999999999996,188.847,157.702,,3.242,,2014-03-30,0,0,0,0,0,0,0,1,0,3,5.0,3166.781,67.131,,3667.0700000000006,7513.5960000000005,3635.925,188.847
410,AS14.09,2014-03-30,7.0,7.75,-1.0,1.0,0.11195652173913047,8669.2909989357,2.0,1.0,1384.013,3493.521,3177.558,21.601,,,41.815,491.89300000000003,,,4.061,50.67,2014-03-31,1,0,0,0,0,0,0,0,1,3,3.0,3177.558,45.876,21.601,3985.414,8614.462,3493.521,513.494
411,AS14.09,2014-03-31,7.6,7.0,-0.2,0.2,0.08333333333333336,6808.904999494553,3.0,,623.375,3363.6079999999997,2077.0019999999995,97.282,,4.1,49.509,10.145,576.3829999999999,,4.043,,2014-04-01,1,1,1,0,0,0,0,0,0,3,3.0,2077.0019999999995,53.552,101.38199999999999,3373.7529999999997,6805.446999999999,3939.9909999999995,111.52699999999999
412,AS14.09,2014-04-01,6.2,7.6,0.0,0.6,0.07986111111111115,12936.086001157757,5.0,,2289.1390000000006,5259.525,4216.561,123.632,,,64.097,107.098,137.18,729.504,5.071000000000001,,2014-04-02,1,1,0,1,0,0,0,0,0,4,5.0,4216.561,798.672,123.632,5366.623,12931.807,5396.705,230.73000000000002
413,AS14.09,2014-04-02,7.6,6.2,0.2,0.0,0.041386554621848724,3616.1849999427823,2.0,,1302.409,698.093,1408.972,,,,78.42599999999999,33.83,,,59.26199999999999,32.864000000000004,2014-04-03,1,1,0,0,1,0,0,0,0,4,2.0,1408.972,137.688,,731.923,3580.992,698.093,33.83
414,AS14.09,2014-04-03,7.25,7.6,0.0,0.6,0.18090277777777775,6119.871999502182,3.0,,588.2239999999999,2006.6190000000004,1529.5339999999999,97.29,,4.04,90.741,209.625,1508.7709999999997,80.247,,,2014-04-04,1,1,0,0,0,1,0,0,0,4,3.0,1529.5339999999999,170.988,101.33000000000001,2216.2440000000006,6115.091,3515.3900000000003,310.95500000000004
415,AS14.09,2014-04-04,7.5,7.25,-0.75,0.75,0.07604166666666665,6912.645999670028,3.0,1.0,276.152,3102.5339999999997,2802.714,47.772000000000006,175.019,,61.001,166.31900000000002,275.002,,3.0869999999999997,,2014-04-05,0,1,0,0,0,0,1,0,0,4,4.0,2977.733,64.088,47.772000000000006,3268.8529999999996,6909.6,3552.5549999999994,214.091
416,AS14.09,2014-04-05,6.8,7.5,0.0,0.75,0.11562500000000003,5465.0930008888245,,,53.05099999999999,3022.0789999999997,2117.3230000000003,,80.992,1.012,76.69700000000002,109.2,,,1.0070000000000001,,2014-04-06,0,0,0,0,0,0,0,1,0,4,,2198.3150000000005,77.70400000000002,1.012,3131.2789999999995,5461.360999999999,3103.071,110.212
417,AS14.09,2014-04-06,6.2,6.8,-0.4,0.8,0.13888888888888887,7160.648002386095,,,269.692,2888.572,3578.5989999999997,51.71,,4.025,52.748999999999995,260.428,,4.098,22.322000000000003,24.224,2014-04-07,1,0,0,0,0,0,0,0,1,4,,3578.5989999999997,79.169,55.735,3149.0,7132.195000000001,2888.572,316.163
418,AS14.09,2014-04-07,7.2,6.2,-0.5,0.0,0.07812500000000004,5353.679001808166,,,174.613,2635.42,1657.547,76.338,,3.043,63.722,301.159,348.162,,,90.352,2014-04-08,1,1,1,0,0,0,0,0,0,4,,1657.547,63.722,79.381,2936.579,5260.004,2983.582,380.53999999999996
419,AS14.09,2014-04-08,6.5,7.2,0.0,0.6,0.08645833333333332,4055.727000236513,,1.0,219.268,1722.9769999999999,17314.980999999992,160.191,,1.032,65.994,34.371,389.942,,,,2014-04-09,1,1,0,1,0,0,0,0,0,4,1.0,17314.980999999992,65.994,161.223,1757.348,19908.75599999999,2112.919,195.59400000000002
420,AS14.09,2014-04-09,6.0,6.5,0.25,0.25,0.034126984126984145,4303.1010003089905,3.0,,455.006,1715.1350000000002,2041.4039999999998,23.372,,,29.333999999999996,28.381999999999998,26.014,,,,2014-04-10,1,1,0,0,1,0,0,0,0,4,3.0,2041.4039999999998,29.333999999999996,23.372,1743.5170000000003,4318.647,1741.1490000000001,51.754
421,AS14.09,2014-04-10,6.8,6.0,0.75,0.0,0.03035714285714286,2158.587001562118,1.0,,116.389,826.867,921.554,,,,19.387,196.27100000000002,,77.658,2.019,,2014-04-11,1,1,0,0,0,1,0,0,0,4,1.0,921.554,99.06400000000001,,1023.1379999999999,2160.1449999999995,826.867,196.27100000000002
422,AS14.09,2014-04-11,7.0,6.8,0.0,0.6,0.11428571428571428,5562.076999187466,,,2.008,765.3009999999998,690.963,23.749000000000002,,,19.296,,598.908,153.30700000000002,,,2014-04-12,0,1,0,0,0,0,1,0,0,4,,690.963,172.603,23.749000000000002,765.3009999999998,2253.532,1364.2089999999998,23.749000000000002
423,AS14.09,2014-04-12,6.0,7.0,0.0,0.8,0.06944444444444445,2841.563000202179,2.0,,,1664.717,1146.349,,,,52.751999999999995,,,,59.098000000000006,,2014-04-13,0,0,0,0,0,0,0,1,0,4,2.0,1146.349,111.85,,1664.717,2922.9159999999997,1664.717,
424,AS14.09,2014-04-13,5.8,6.0,-0.8,0.0,0.1722222222222222,1216.8459997177122,,1.0,12.187,503.457,273.882,,,,15.208,,411.041,,1.008,,2014-04-14,1,0,0,0,0,0,0,0,1,4,1.0,273.882,16.216,,503.457,1216.7830000000001,914.498,
425,AS14.09,2014-04-14,6.0,5.8,-0.2,-0.2,0.08333333333333319,823.1890001296997,1.0,1.0,75.483,186.68600000000004,482.67,,,5.029,25.479,,77.72,,,,2014-04-15,1,1,1,0,0,0,0,0,0,4,2.0,482.67,25.479,5.029,186.68600000000004,853.0670000000001,264.40600000000006,5.029
426,AS14.09,2014-04-15,5.5,6.0,0.0,0.0,0.08854166666666669,1799.896999597549,1.0,1.0,120.66499999999999,595.632,1042.797,148.776,,,11.277000000000001,,,,,,2014-04-16,1,1,0,1,0,0,0,0,0,4,2.0,1042.797,11.277000000000001,148.776,595.632,1919.147,595.632,148.776
427,AS14.09,2014-04-16,7.0,5.5,-0.5,-0.25,0.015584415584415586,588.7820003032684,,,10.120999999999999,262.839,419.4920000000001,,,,29.612,,,,,,2014-04-17,1,1,0,0,1,0,0,0,0,4,,419.4920000000001,29.612,,262.839,722.064,262.839,
428,AS14.09,2014-04-17,6.6,7.0,0.0,0.75,0.11045653907496013,2211.44800043106,1.0,1.0,31.595999999999997,1268.037,651.998,36.512,,,32.259,,43.02400000000001,151.64100000000002,5.106999999999999,,2014-04-18,1,1,0,0,0,1,0,0,0,4,2.0,651.998,189.00700000000003,36.512,1268.037,2220.174,1311.0610000000001,36.512
429,AS14.09,2014-04-18,8.0,6.6,-1.2,0.6,0.11473829201101932,2364.1620001792908,2.0,1.0,130.091,516.495,1488.692,80.219,,72.352,12.052999999999999,38.117000000000004,22.127,,3.0109999999999997,,2014-04-19,0,1,0,0,0,0,1,0,0,4,3.0,1488.692,15.063999999999998,152.571,554.612,2363.157,538.622,190.688
430,AS14.09,2014-04-19,6.25,8.0,0.25,1.0,0.11314935064935065,1896.4769990444192,,,13.157,761.494,584.247,,,4.0280000000000005,20.803,36.476,475.38599999999997,,,,2014-04-20,0,0,0,0,0,0,0,1,0,4,,584.247,20.803,4.0280000000000005,797.97,1895.5910000000001,1236.88,40.504
431,AS14.09,2014-04-20,6.5,6.25,0.0,0.25,0.041548295454545435,421.08100032806396,,,2.012,248.20999999999998,208.96999999999997,,,,,267.892,61.328,,,,2014-04-21,1,0,0,0,0,0,0,0,1,4,,208.96999999999997,,,516.102,788.4119999999999,309.538,267.892
432,AS14.09,2014-04-21,6.6,6.5,-1.0,0.5,0.015309343434343441,848.1339998245237,2.0,,66.726,66.779,554.882,32.885999999999996,,,16.339,,,108.031,2.205,,2014-04-22,1,1,1,0,0,0,0,0,0,4,2.0,554.882,126.575,32.885999999999996,66.779,847.8479999999998,66.779,32.885999999999996
433,AS14.09,2014-04-22,6.333333333333333,6.6,-0.2,0.4,0.06439393939393938,2612.3979995250684,15.0,,814.3489999999999,835.9220000000001,1426.9350000000002,,,,,26.468000000000004,,,,,2014-04-23,1,1,0,1,0,0,0,0,0,4,15.0,1426.9350000000002,,,862.3900000000001,3103.674,835.9220000000001,26.468000000000004
434,AS14.09,2014-04-23,7.2,6.333333333333333,-0.3333333333333333,0.3333333333333333,0.03922032828282828,2925.293999671936,2.0,2.0,810.7319999999999,765.12,1200.412,71.327,,,23.765,28.135,,30.26,,,2014-04-24,1,1,0,0,1,0,0,0,0,4,4.0,1200.412,54.025000000000006,71.327,793.255,2929.751,765.12,99.462
435,AS14.09,2014-04-24,7.25,7.2,0.2,1.0,0.042032828282828276,763.8369996547699,5.0,,23.392,302.97900000000004,422.54499999999996,,,,7.085,,4.024,,,5.032,2014-04-25,1,1,0,0,0,1,0,0,0,4,5.0,422.54499999999996,7.085,,302.97900000000004,760.025,307.00300000000004,
436,AS14.09,2014-04-25,8.0,7.25,0.25,1.0,0.11581439393939394,1263.7550008296964,,,4.023,644.2679999999999,976.648,47.888999999999996,,,25.512999999999998,,,71.26,,14.065999999999999,2014-04-26,0,1,0,0,0,0,1,0,0,4,,976.648,96.773,47.888999999999996,644.2679999999999,1769.6009999999999,644.2679999999999,47.888999999999996
437,AS14.09,2014-04-26,6.25,8.0,0.0,1.0,0.11026936026936031,1797.3450000286102,,,74.732,1051.7220000000002,404.52,203.255,,,38.775000000000006,8.226,,,,25.462,2014-04-27,0,0,0,0,0,0,0,1,0,4,,404.52,38.775000000000006,203.255,1059.9480000000003,1781.2300000000002,1051.7220000000002,211.481
438,AS14.09,2014-04-27,6.6,6.25,-1.0,0.25,,,,,,,,,,,,,,,,,2014-04-28,1,0,0,0,0,0,0,0,1,4,,,,,,,,
439,AS14.09,2014-04-28,6.75,6.6,0.0,0.6,,,,,,,,,,,,,,,,,2014-04-29,1,1,1,0,0,0,0,0,0,4,,,,,,,,
440,AS14.09,2014-04-29,7.0,6.75,-0.5,0.5,,,,,,,,,,,,,,,,,2014-04-30,1,1,0,1,0,0,0,0,0,4,,,,,,,,
441,AS14.09,2014-04-30,7.5,7.0,-0.5,0.75,,,,,,,,,,,,,,,,,2014-05-01,1,1,0,0,1,0,0,0,0,4,,,,,,,,
442,AS14.09,2014-05-01,7.6,7.5,-0.25,0.75,,,,,,,,,,,,,,,,,2014-05-02,1,1,0,0,0,1,0,0,0,5,,,,,,,,
443,AS14.09,2014-05-02,7.75,7.6,0.0,0.8,,,,,,,,,,,,,,,,,2014-05-03,0,1,0,0,0,0,1,0,0,5,,,,,,,,
444,AS14.09,2014-05-03,6.6,7.75,0.25,0.75,,,,,,,,,,,,,,,,,2014-05-04,0,0,0,0,0,0,0,1,0,5,,,,,,,,
445,AS14.09,2014-05-04,6.0,6.6,0.2,0.4,,,,,,,,,,,,,,,,,2014-05-05,1,0,0,0,0,0,0,0,1,5,,,,,,,,
446,AS14.09,2014-05-05,,6.0,-1.0,0.5,,,,,,,,,,,,,,,,,2014-05-06,1,1,1,0,0,0,0,0,0,5,,,,,,,,
447,AS14.12,2014-02-26,,,,,,,9.0,1.0,,,,,,,,,,,,,2014-02-27,1,1,0,0,1,0,0,0,0,2,10.0,,,,,,,
448,AS14.12,2014-03-07,,,,,,,8.0,7.0,,,,,,,,,,,,,2014-03-08,0,1,0,0,0,0,1,0,0,3,15.0,,,,,,,
